Linear Regression,Neural Network,kNN,Random Forest,SVM,Tree,Magnetic Saturation,Composition ID,Reference DOI
1.17300415,1.197795064,1.249937739,1.231942428,1.196154553,1.167431409,1.267313218,1100100011,https://doi.org/10.1109/20.825825
1.451812744,0.615263952,0.283333333,0.307,1.618733066,0.283333333,0.19,1100100001,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
0.750640869,0.474641071,0.283333333,0.307,0.917260832,0.283333333,0.32,1100100001,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
1.101226807,0.498879642,0.283333333,0.307,1.267996949,0.283333333,0.34,1100100001,https://link.springer.com/article/10.1007%2Fs00339-014-8729-0
1.62600708,1.728086381,1.63979326,1.648249075,1.589942141,1.63979326,1.639961441,1010010010,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2
1.51751709,1.602940849,1.62963234,1.617810948,1.505977332,1.63979326,1.619676959,1010010011,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2
1.303833008,1.40729896,1.589642476,1.570773721,1.342024899,1.574625235,1.539771786,1010010011,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2
1.408172607,1.516227174,1.589642476,1.605745018,1.421410311,1.574625235,1.609478683,1010010011,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2
1.568847656,1.658082916,1.63979326,1.648249075,1.545067826,1.63979326,1.659741379,1010010011,https://link.springer.com/article/10.1007%2Fs10854-015-2950-2
1.258911133,1.153073533,1.298441558,1.213187812,1.262944971,1.231195474,1.246803069,1100100011,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
1.391540527,1.235511158,1.371970188,1.384854177,1.371692834,1.44406047,1.400255754,1100100011,https://link.springer.com/article/10.1007%2Fs11664-016-4643-x
